seconds,603452.05.02.01,603452.06.01.01,603452.06.02.01,603452.05.01.01,604427.03.02.01,604427.04.02.01,604427.05.02.01,604427.02.01.01,604949.03.01.01,604949.06.01.01,605489.04.02.01,605489.03.01.01,605489.05.01.01,605489.02.02.01,606634.06.02.01,606634.05.01.01,607073.09.02.01,607073.11.02.01,607073.09.01.01,611951.02.01.01,611951.06.02.01,614426.20.04.01
0,-73.864372,-80.22039,-79.037888,-84.946999,-75.669022,-85.280869,-63.594131,-77.168976,-80.99485,-76.679543,-80.437027,-79.479118,-79.315941,-80.425156,-82.693947,-73.2267,-74.079071,-77.014542,-72.174538,-81.14061,-65.130684,-86.330032
15,-73.766808,-80.297592,-80.118698,-84.774239,-75.794464,-86.000252,-63.572674,-77.377014,-79.711815,-77.567802,-80.722153,-79.07019,-80.150673,-79.97921,-82.869667,-72.774109,-73.867882,-77.236839,-70.992805,-80.772324,-64.881226,-86.912956
30,-74.508881,-80.747673,-79.416176,-84.961678,-75.816612,-85.097664,-63.503281,-77.219727,-79.684998,-77.796913,-80.345337,-78.875038,-80.123329,-80.694901,-83.435463,-73.061172,-73.448296,-77.728531,-69.714935,-80.459625,-63.112652,-86.460655
45,-75.584343,-82.578514,-80.037666,-85.039467,-75.929451,-85.821587,-63.638981,-76.704552,-79.217636,-77.561829,-80.317116,-78.578003,-79.919075,-80.443626,-83.313179,-72.284607,-73.521317,-77.827263,-70.932983,-79.399094,-64.329292,-86.284546
60,-75.353401,-82.024658,-78.24334,-85.133392,-74.11731,-86.190651,-63.815086,-76.831062,-79.022377,-77.827812,-80.282623,-78.49073,-80.047035,-80.279404,-83.747932,-72.857056,-74.299271,-77.936226,-71.456627,-77.37133,-64.859634,-85.87394
75,-76.132988,-81.612106,-78.179756,-85.281143,-73.653732,-86.288612,-63.475582,-76.654915,-78.450691,-77.971779,-80.735374,-78.700241,-80.115402,-80.427643,-83.763245,-72.953468,-73.967331,-77.809807,-71.072823,-76.467651,-65.614136,-85.632706
90,-76.251869,-81.260567,-78.134285,-85.154922,-73.868149,-86.625755,-63.030716,-77.513245,-78.440422,-78.042274,-81.025841,-78.565842,-80.27636,-79.913544,-83.272423,-73.422928,-73.35099,-77.808273,-70.81765,-76.727036,-65.8106,-85.865738
105,-75.599991,-80.592278,-79.079552,-85.457626,-72.41671,-85.462143,-61.885696,-76.495972,-79.394478,-78.151711,-81.017876,-78.518326,-80.121384,-80.205635,-83.704979,-73.359238,-73.632744,-77.702652,-71.001411,-77.131348,-66.466522,-85.946114
120,-75.215012,-80.623337,-78.852898,-85.195404,-73.179062,-86.321068,-62.676598,-76.813934,-79.101234,-77.64119,-81.283234,-79.419228,-79.734184,-79.983444,-84.202545,-73.277435,-73.387772,-78.048439,-70.932358,-76.770798,-67.108925,-85.965637
135,-74.681847,-82.871758,-78.390877,-85.592392,-74.245361,-86.373428,-63.152115,-77.874649,-78.863739,-77.885803,-81.02636,-79.973778,-80.154198,-80.524948,-84.52253,-74.073502,-71.89061,-78.217804,-68.96994,-77.773956,-67.783775,-86.035828
150,-73.836761,-80.798363,-78.25367,-85.287323,-73.71711,-85.745224,-63.171684,-77.546288,-80.652473,-78.410515,-80.737381,-79.327599,-80.162399,-79.866776,-84.310158,-73.973526,-71.730278,-78.159019,-70.944862,-77.862686,-68.475815,-85.535606
165,-73.565544,-81.675728,-77.710785,-85.426086,-74.345673,-86.42601,-63.058636,-77.499863,-81.238297,-78.052505,-80.886017,-78.851273,-79.592583,-79.943619,-84.515961,-74.565201,-70.961212,-78.170647,-70.959961,-77.131516,-68.40493,-35.913349
180,-74.152405,-82.634514,-77.545952,-85.698677,-74.689995,-86.20063,-63.049835,-77.170776,-81.644104,-78.318939,-77.254395,-78.814316,-79.931458,-79.813972,-84.518044,-74.001991,-70.36702,-78.330185,-70.607117,-76.132637,-68.264496,-66.438698
195,-75.289551,-81.072884,-77.550156,-85.682831,-74.511749,-86.022461,-62.522633,-77.199936,-82.114433,-77.938316,-63.272587,-78.750526,-79.596474,-79.324928,-84.109627,-74.496597,-70.398087,-77.848183,-70.734924,-76.893669,-68.710129,-81.558144
210,-75.402405,-82.563599,-77.739815,-85.802338,-74.797043,-86.18248,-62.165401,-76.951347,-82.030907,-78.383133,-64.647636,-78.959297,-79.431114,-79.581696,-84.40435,-74.449257,-70.387726,-77.340515,-70.74781,-77.678879,-68.999596,-84.190849
225,-74.664062,-81.640297,-78.079239,-86.015549,-74.424301,-86.44886,-63.650993,-76.875313,-80.363136,-78.344879,-65.051834,-78.862297,-79.699471,-79.699936,-84.213432,-75.154152,-70.400047,-77.871239,-71.578873,-77.917465,-68.071411,-84.849609
240,-73.025223,-81.280083,-78.492142,-86.058334,-74.059204,-86.554283,-63.085968,-76.710945,-80.001816,-78.167465,-64.726761,-78.77816,-79.920006,-79.790184,-84.525642,-75.691246,-70.112183,-77.991081,-70.944916,-77.964607,-70.151199,-83.608513
255,-75.413498,-82.170998,-77.508614,-85.751755,-75.380898,-86.521446,-63.265839,-76.345421,-80.31443,-78.918045,-64.348236,-78.907661,-80.558014,-80.065788,-84.943047,-75.070068,-69.589691,-77.843987,-70.363808,-79.300117,-70.427704,-85.683296
270,-74.172974,-81.048332,-77.653992,-86.237976,-75.184204,-86.142044,-62.495358,-76.250252,-81.34433,-79.80101,-64.656532,-78.678856,-80.700104,-79.228523,-84.213554,-75.064987,-69.843956,-77.243896,-70.499519,-79.085312,-71.064201,-86.550797
285,-73.475204,-80.494156,-78.467697,-84.97258,-74.473328,-85.927292,-62.641834,-76.112968,-80.060066,-78.362411,-62.470493,-79.152763,-80.306831,-76.137924,-84.471924,-74.12455,-69.390968,-76.07132,-70.654907,-78.17804,-69.443314,-85.862396
300,-73.154457,-81.349648,-78.231918,-85.218292,-74.787643,-85.328278,-62.152287,-75.428726,-80.733543,-77.942535,-63.883446,-78.178497,-80.430588,-77.167984,-84.605034,-74.677742,-69.230103,-76.000175,-70.613625,-78.655556,-69.071335,-85.956108
315,-72.468346,-81.257034,-79.125137,-85.380966,-74.355217,-84.558502,-62.36866,-75.183052,-80.973412,-77.98555,-65.692307,-77.999451,-79.99736,-79.803276,-84.40741,-74.911064,-68.725136,-76.309921,-70.569397,-74.996445,-69.771034,-86.030891
330,-73.72522,-80.657043,-79.795334,-85.501534,-74.008865,-85.954735,-61.782135,-75.886116,-79.518105,-77.826767,-66.672737,-78.296745,-80.201172,-78.104317,-84.551956,-75.232132,-68.301468,-74.878754,-69.815353,-72.50412,-69.480293,-85.690987
345,-73.291161,-76.958359,-78.957924,-85.056763,-74.96698,-85.944725,-62.71957,-75.748299,-79.527687,-77.639542,-64.152687,-78.853584,-79.861855,-78.848175,-82.720535,-75.622215,-68.461433,-75.495255,-70.040955,-78.59745,-69.505875,-86.081429
360,-74.442307,-81.394119,-78.821281,-85.011421,-72.869171,-85.846451,-62.301266,-75.338829,-79.85199,-77.739502,-65.035683,-79.501717,-79.303413,-79.643082,-82.986183,-74.989822,-68.41893,-75.836639,-69.973274,-78.718414,-69.660995,-85.924622
375,-73.318558,-81.343643,-78.775093,-85.043533,-73.409782,-85.554642,-62.155987,-75.289856,-80.514091,-77.326279,-66.207939,-78.832596,-79.468918,-79.582939,-82.640579,-74.433304,-68.204277,-75.9011,-70.03241,-78.74292,-70.008842,-85.536781
390,-74.353165,-80.244881,-78.741417,-84.97554,-74.035561,-85.809822,-61.822845,-75.275887,-79.645744,-78.175728,-65.98912,-79.106644,-79.441849,-79.109329,-82.629547,-74.989609,-67.609886,-77.050362,-70.055847,-78.865219,-70.20723,-86.284683
405,-74.494667,-79.958839,-78.769691,-85.071609,-74.484558,-85.902588,-61.720718,-75.302299,-79.663719,-78.294701,-68.544197,-78.975571,-75.444054,-79.097298,-82.752098,-75.334343,-66.66185,-77.487915,-70.34285,-78.035881,-71.024986,-86.686768
420,-74.523384,-80.153473,-78.513481,-84.905602,-74.953644,-86.307709,-61.426201,-75.686852,-78.998482,-78.21566,-68.855568,-79.190987,-69.141182,-78.826859,-82.245834,-74.686539,-66.609741,-77.858887,-70.002396,-77.953545,-70.533012,-86.127937
435,-74.102058,-79.455719,-78.81916,-84.629364,-74.894714,-86.732719,-61.199619,-75.23661,-79.223,-78.258034,-75.271973,-78.912025,-72.456825,-79.377892,-82.280899,-74.706306,-66.045273,-77.186119,-70.163971,-77.772179,-69.50843,-86.41301
450,-74.298325,-80.170815,-79.4972,-84.723389,-74.909851,-86.461861,-61.845303,-75.844772,-79.009323,-78.288086,-74.064583,-78.46479,-74.219963,-79.495209,-81.2435,-74.998192,-66.675255,-76.799828,-70.922516,-77.694778,-70.787781,-85.429619
465,-74.940521,-80.345917,-79.058319,-84.685448,-74.338242,-85.883995,-60.064442,-75.236259,-79.246002,-78.11776,-72.570633,-77.832336,-71.466492,-79.114197,-81.712273,-75.608009,-66.500206,-76.115974,-70.47422,-77.663498,-71.434479,-86.542801
480,-75.813591,-79.322075,-78.853928,-84.587929,-75.337669,-85.922722,-60.953663,-74.670998,-80.138908,-78.49736,-72.558807,-78.284653,-70.36187,-79.218132,-81.808548,-74.714821,-66.508301,-76.030891,-70.396324,-78.162346,-70.804794,-86.867935
495,-76.282623,-78.978195,-79.293167,-83.58136,-75.328926,-85.790199,-59.804592,-74.813492,-79.309677,-77.971603,-74.518845,-78.798439,-70.809479,-79.47673,-82.758781,-76.072372,-66.446144,-76.071053,-70.573784,-78.521072,-71.165298,-87.306602
510,-76.024376,-79.864731,-79.847252,-84.325348,-75.371368,-85.395706,-60.720974,-74.749794,-80.694824,-78.202225,-75.735939,-79.591957,-70.210205,-79.630516,-82.319466,-76.233238,-66.200157,-75.480209,-70.628372,-78.76593,-70.742126,-87.892288
525,-76.894547,-79.474541,-78.996635,-84.338562,-75.39756,-85.108925,-60.361137,-75.053909,-80.003792,-77.829544,-76.219215,-79.718361,-70.465919,-80.126823,-82.498528,-75.904137,-66.319687,-75.750839,-70.716423,-78.66787,-71.116943,-87.552116
540,-77.534042,-79.197578,-79.852394,-84.337791,-75.303635,-86.081337,-60.784264,-75.113129,-79.592293,-77.876541,-76.670723,-79.428253,-70.580849,-79.652962,-82.734245,-76.491005,-66.014458,-75.514885,-71.024025,-78.363853,-72.076889,-88.15374
555,-77.488144,-80.515007,-78.889519,-84.323997,-74.681816,-86.30986,-60.772476,-75.296227,-80.0149,-77.756699,-78.066826,-78.816696,-71.71064,-80.053825,-82.416451,-75.811348,-65.430161,-75.453659,-71.084183,-78.509232,-71.866814,-88.326775
570,-76.619179,-80.208405,-78.120171,-84.054672,-74.894836,-86.040337,-62.792305,-74.904221,-80.746605,-77.510857,-79.773033,-78.31176,-72.524002,-79.868935,-82.726257,-76.655655,-65.730629,-75.323441,-71.65313,-77.990211,-71.962204,-88.477409
585,-77.269394,-79.635559,-77.268593,-84.258553,-74.121742,-85.766045,-60.988579,-74.694305,-79.403519,-77.854691,-79.538368,-78.535263,-73.353615,-79.298607,-83.705139,-76.747787,-65.100487,-74.499573,-71.441605,-77.483147,-70.992683,-88.267105
